cust_id,gender,age,id,county,card_id,open_date,card_type,credit_line
00000224,男性,48,6,宜蘭縣,000000204060707,14Jan2013,2,52
00000278,男性,45,6,宜蘭縣,337333432383237,17Nov2014,2,37
00000626,男性,43,5,花蓮縣,879777575797977,19Dec2011,2,23
00000695,男性,46,5,花蓮縣,876777772757870,22Jan2013,2,12
00000719,男性,44,5,花蓮縣,355565653535952,16Jan2015,3,24
00000901,男性,47,5,花蓮縣,273737177797278,19Nov2012,2,45
00001192,男性,55,10,南投縣,496929996979893,17Jan2011,3,34
00001271,女性,46,10,南投縣,000030003040204,20Oct2014,3,48
00001457,男性,41,10,南投縣,229252825222926,19Apr2011,3,35
00001913,女性,45,12,屏東縣,259555855575554,21Jan2014,3,30
00002171,男性,47,12,屏東縣,063606869616267,18Mar2011,2,37
00002473,女性,55,12,屏東縣,422202325242427,17Dec2009,2,52
00002487,男性,45,12,屏東縣,119171415151411,14Oct2006,2,20
00002532,男性,50,9,苗栗縣,753545753575459,19Apr2014,2,44
00002901,男性,49,9,苗栗縣,471767475757975,20Dec2013,2,25
00003166,女性,47,20,桃園縣,348454544494347,19Dec2014,3,26
00003272,女性,50,20,桃園縣,543424243434045,13Oct2013,3,36
00003281,男性,50,20,桃園縣,936393539333738,12Jan2015,3,21
00003452,女性,47,20,桃園縣,647484242454549,17Jan2011,2,25
00003742,男性,42,20,桃園縣,402020802060908,21Oct2013,2,29
00003859,男性,39,20,桃園縣,664666263606967,17Nov2011,3,36
00004036,男性,42,20,桃園縣,443414542414448,17Oct2010,2,14
00004069,男性,42,20,桃園縣,192979696939299,14Feb2011,2,20
00004226,女性,46,7,高雄市,045414346484049,15Nov2012,3,43
00004255,男性,41,7,高雄市,999959197979395,16Oct2014,2,24
00004485,男性,50,7,高雄市,988838680878080,13Dec2012,2,39
00004567,女性,51,7,高雄市,949414543424943,21Oct2013,2,26
00004764,女性,45,7,高雄市,383858685838987,19Nov2012,2,16
00004920,女性,51,7,高雄市,594999595939696,15Sep2010,3,29
00004989,男性,43,7,高雄市,524292027272328,18Mar2011,2,31
00005163,女性,46,7,高雄市,896969794939093,17Jan2011,2,36
00005177,女性,58,7,高雄市,976737077717476,13Dec2009,2,22
00005478,男性,45,7,高雄市,757525053535352,19Dec2014,3,43
00005585,女性,53,7,高雄市,774757973727979,20Jan2015,2,42
00005719,女性,50,7,高雄市,965626963666465,18Feb2011,3,35
00006057,男性,44,7,高雄市,761636060626266,16Apr2010,3,17
00006099,女性,55,7,高雄市,000010806020603,20Jan2012,3,34
00006149,女性,51,7,高雄市,786868381868688,15Dec2014,3,38
00006599,女性,55,21,雲林縣,096929296929896,19Feb2013,2,40
00006605,男性,44,21,雲林縣,142414249444849,17Jan2014,2,38
00006681,男性,45,21,雲林縣,555535559595455,18Mar2014,2,25
00006691,女性,51,21,雲林縣,553595356585759,19Feb2013,3,25
00006838,女性,47,21,雲林縣,775717874737473,19Nov2012,2,28
